code,name,count,PI,change
000737,*ST南风,101,3.55,3.94
002032,苏 泊 尔,45,3.36,2.37
000608,阳光股份,44,3.39,1.38
300630,普利制药,43,3.50,6.95
600771,广誉远,42,3.32,3.33
002728,特一药业,37,3.09,1.12
000826,启迪桑德,36,3.85,1.12
603288,海天味业,34,3.23,1.73
300747,锐科激光,29,3.35,2.43
600062,华润双鹤,29,3.07,1.36
300572,安车检测,28,4.08,1.63
002268,卫 士 通,28,3.59,4.78
000697,炼石有色,27,3.27,4.29
603022,新通联,27,3.40,3.24
300577,开润股份,24,3.24,1.79
300338,开元股份,24,4.08,1.13
002921,联诚精密,23,3.73,1.14
600436,片仔癀,22,3.29,2.79
000048,*ST康达,22,3.76,4.68
002368,太极股份,22,3.26,3.85
