code,name,pre_close,price,PI,change,time
600149,ST坊展,5.27,5.52,3.880223661,4.74,9:51
600877,ST嘉陵,4.73,4.96,3.638959957,4.86,9:51
603683,晶华新材,20.17,20.4,4.303278689,1.14,9:51
603939,益丰药房,53.94,55.21,3.150289017,2.35,9:51
661,长春高新,208.21,216.5,4.116915423,3.98,9:51
600201,生物股份,15.57,15.98,4.051029543,2.63,9:51
600436,片仔癀,103.89,106.95,3.611111111,2.95,9:51
2714,牧原股份,24.38,25.2,3.61770073,3.36,9:51
300676,华大基因,75.01,75.9,3.348623853,1.19,9:51
600761,安徽合力,9.79,9.9,3.363930886,1.12,9:51
300529,健帆生物,42.81,44.28,4.262101535,3.43,9:51
300507,苏奥传感,21.25,21.49,3.221153846,1.13,9:51
603883,老百姓,68.28,69.13,4.113924051,1.24,9:51
2919,名臣健康,32,33.09,3.899018233,3.41,9:51
600809,山西汾酒,51.63,53,4.240740741,2.65,9:51
910,大亚圣象,13.31,13.53,3.533834586,1.65,9:51
603650,彤程新材,31.81,32.26,3.265765766,1.41,9:51
603337,杰克股份,35.43,36.17,3.548895899,2.09,9:51
2368,太极股份,32.79,34.24,3.444863336,4.42,9:52
5,世纪星源,3.06,3.13,3.022943365,2.29,9:52
2594,比亚迪,39.25,40.63,3.217317487,3.52,9:52
2319,乐通股份,15.8,16.03,3.35589942,1.46,9:52
600877,ST嘉陵,4.73,4.96,3.422929402,4.86,9:52
600986,科达股份,5.56,6.11,3.87409201,9.89,9:52
603683,晶华新材,20.17,20.42,3.847858198,1.24,9:52
2696,百洋股份,10.31,10.59,3.620437956,2.72,9:52
603659,璞泰来,48.4,49.85,3.209219858,3,9:52
600201,生物股份,15.57,15.99,3.692307692,2.7,9:52
603160,汇顶科技,74.52,76.28,3.085106383,2.36,9:52
651,格力电器,40.36,40.92,3.161196911,1.39,9:52
697,炼石有色,16.17,16.7,3.040322581,3.28,9:52
600741,华域汽车,20.97,21.28,3.6796875,1.48,9:52
300676,华大基因,75.01,75.9,3.214285714,1.19,9:52
300689,澄天伟业,34.14,34.97,3.064516129,2.43,9:52
603777,来伊份,12.89,13.25,3.164876816,2.79,9:52
603337,杰克股份,35.43,36.17,3.289473684,2.09,9:52
635,英 力 特,11.94,13.04,3.811868687,9.21,9:53
2319,乐通股份,15.8,16.02,3.311068702,1.39,9:53
600877,ST嘉陵,4.73,4.97,3.719436656,5.07,9:53
300435,中泰股份,10.35,11.13,3.20754717,7.54,9:53
895,双汇发展,23.9,24.16,3.368953881,1.09,9:53
603683,晶华新材,20.17,20.42,3.628133705,1.24,9:53
2696,百洋股份,10.31,10.58,4.146853147,2.62,9:53
603939,益丰药房,53.94,55.62,3.093220339,3.11,9:53
2365,永安药业,15.75,15.95,3.20970696,1.27,9:53
