code,PI,name,pre_close,price,change,time
002419,3.9935064935064934,天虹股份,11.510,11.650,1.22,09:30
603105,3.5093167701863357,芯能科技,23.950,24.600,2.71,09:30
000938,3.386773547094188,紫光股份,45.180,45.730,1.22,09:30
000601,3.136094674556213,韶能股份,5.040,5.130,1.79,09:30
300392,3.009566165981371,腾信股份,8.990,9.680,7.68,09:30
002338,2.886002886002886,奥普光电,13.420,13.960,4.02,09:30
603616,2.8424657534246576,韩建河山,12.230,12.450,1.80,09:30
600769,2.7369769427839454,祥龙电业,4.990,5.190,4.01,09:30
300046,2.479641693811075,台基股份,15.830,16.100,1.71,09:30
603797,2.390891840607211,联泰环保,14.000,14.460,3.29,09:30
002614,2.3387096774193545,奥佳华,17.380,17.920,3.11,09:30
600990,2.3300970873786406,四创电子,35.230,36.140,2.58,09:30
300584,2.321428571428571,海辰药业,32.580,34.000,4.36,09:30
000856,2.151067323481117,冀东装备,12.400,12.870,3.79,09:30
601069,2.129032258064516,西部黄金,15.760,16.210,2.86,09:30
002270,2.0363164721141374,华明装备,4.790,5.180,8.14,09:30
300047,2.012847965738758,天源迪科,13.800,14.050,1.81,09:30
600520,1.9565217391304348,文一科技,16.450,16.830,2.31,09:30
002356,4.087956698240866,赫美集团,11.020,11.950,8.44,09:31
002916,3.5494880546075085,深南电路,65.310,66.400,1.67,09:31
002419,3.1862312444836713,天虹股份,11.510,11.640,1.13,09:31
300684,3.1443298969072164,中石科技,84.160,87.800,4.33,09:31
600547,3.1296171927468097,山东黄金,22.390,22.920,2.37,09:31
300392,3.049263873159683,腾信股份,8.990,9.540,6.12,09:31
300312,2.848741794310722,邦讯技术,8.440,8.990,6.52,09:31
000010,2.7374156720290608,美丽生态,4.540,4.630,1.98,09:31
002315,2.6933158584534733,焦点科技,16.970,17.180,1.24,09:31
002041,2.4981027068049584,登海种业,6.830,6.950,1.76,09:31
000861,2.3606098288394852,海印股份,2.740,2.800,2.19,09:31
603616,2.2644472361809047,韩建河山,12.230,12.410,1.47,09:31
300513,2.232142857142857,恒泰实达,22.860,23.150,1.27,09:31
002808,2.2222222222222223,苏州恒久,10.630,10.780,1.41,09:31
000411,2.092696629213483,英特集团,14.610,15.070,3.15,09:31
000601,2.0514390691977957,韶能股份,5.040,5.140,1.98,09:31
600986,2.0163202678197796,科达股份,6.120,6.370,4.08,09:31
300091,1.9752520623281393,金通灵,10.000,10.140,1.40,09:31
600769,3.9529411764705884,祥龙电业,4.990,5.490,10.02,09:32
000010,2.927394438722966,美丽生态,4.540,4.610,1.54,09:32
300604,2.713310580204778,长川科技,40.110,40.820,1.77,09:32
002419,2.6545595054095825,天虹股份,11.510,11.670,1.39,09:32
002138,2.600250626566416,顺络电子,18.800,19.170,1.97,09:32
000861,2.541626252828969,海印股份,2.740,2.810,2.55,09:32
002614,2.480769230769231,奥佳华,17.380,17.800,2.42,09:32
600520,2.2210743801652892,文一科技,16.450,17.180,4.44,09:32
300392,2.1129707112970713,腾信股份,8.990,9.780,8.79,09:32
600773,1.9953596287703017,西藏城投,7.950,8.490,6.79,09:32
002648,1.9952380952380953,卫星石化,9.380,9.750,3.94,09:32
601011,1.948282938842523,宝泰隆,6.410,6.610,3.12,09:32
000601,1.9408208717785556,韶能股份,5.040,5.130,1.79,09:32
002356,1.8972780298120544,赫美集团,11.020,11.730,6.44,09:32
002563,1.8840579710144927,森马服饰,11.680,11.820,1.20,09:32
600988,1.873068205233876,赤峰黄金,5.050,5.210,3.17,09:32
603225,1.865671641791045,新凤鸣,22.160,22.430,1.22,09:32
002753,1.8553459119496856,永东股份,12.530,13.010,3.83,09:32
600179,3.9721317408613825,安通控股,9.890,10.050,1.62,09:33
002138,3.0599144079885874,顺络电子,18.800,19.160,1.91,09:33
300667,2.8484848484848486,必创科技,30.200,30.860,2.19,09:33
600877,2.7884869289675205,ST嘉陵,4.970,5.180,4.23,09:33
300498,2.664319248826291,温氏股份,22.460,22.780,1.42,09:33
002563,2.6452905811623246,森马服饰,11.680,11.880,1.71,09:33
000861,2.6075662178308203,海印股份,2.740,2.800,2.19,09:33
600673,2.545248868778281,东阳光科,8.330,8.420,1.08,09:33
002614,2.5,奥佳华,17.380,18.050,3.85,09:33
300047,2.4872122762148337,天源迪科,13.800,14.250,3.26,09:33
300684,2.464788732394366,中石科技,84.160,86.830,3.17,09:33
600740,2.454948710840033,山西焦化,11.260,11.380,1.07,09:33
603877,2.4152542372881354,太平鸟,24.700,25.140,1.78,09:33
000411,2.324561403508772,英特集团,14.610,15.150,3.70,09:33
000010,2.2730739893211287,美丽生态,4.540,4.640,2.20,09:33
600990,2.2222222222222223,四创电子,35.230,36.740,4.29,09:33
300658,2.210144927536232,延江股份,16.030,16.500,2.93,09:33
002361,2.1643109540636045,神剑股份,4.200,4.300,2.38,09:33
000938,3.34375,紫光股份,45.180,46.900,3.81,09:34
600877,3.337046789548309,ST嘉陵,4.970,5.180,4.23,09:34
300392,3.170143323400028,腾信股份,8.990,9.860,9.68,09:34
600986,3.099025651222907,科达股份,6.120,6.440,5.23,09:34
600990,3.032520325203252,四创电子,35.230,36.480,3.55,09:34
600769,2.8364709187974153,祥龙电业,4.990,5.310,6.41,09:34
603616,2.7860528097494925,韩建河山,12.230,12.470,1.96,09:34
600520,2.65625,文一科技,16.450,17.190,4.50,09:34
300513,2.5806451612903225,恒泰实达,22.860,23.380,2.27,09:34
000861,2.543771489024068,海印股份,2.740,2.770,1.09,09:34
300523,2.5,辰安科技,65.000,66.010,1.55,09:34
300684,2.4782608695652173,中石科技,84.160,86.790,3.12,09:34
002410,2.4780701754385963,广联达,28.990,29.500,1.76,09:34
603018,2.4314442413162705,中设集团,17.180,17.480,1.75,09:34
002356,2.364190687361419,赫美集团,11.020,11.860,7.62,09:34
600973,2.288008028098344,宝胜股份,3.780,4.140,9.52,09:34
600271,2.2226027397260273,航天信息,28.020,28.580,2.00,09:34
002776,2.20440557175251,柏堡龙,13.490,13.900,3.04,09:34
600877,4.582438558816512,ST嘉陵,4.970,5.210,4.83,09:35
002410,2.98937784522003,广联达,28.990,29.480,1.69,09:35
002912,2.9054054054054053,中新赛克,96.750,97.900,1.19,09:35
300667,2.8514056224899598,必创科技,30.200,30.690,1.62,09:35
002648,2.668500687757909,卫星石化,9.380,10.080,7.46,09:35
600773,2.577615444821289,西藏城投,7.950,8.410,5.79,09:35
002753,2.5431357839459867,永东股份,12.530,12.970,3.51,09:35
002488,2.5184331797235022,金固股份,11.430,11.950,4.55,09:35
300602,2.37603305785124,飞荣达,39.810,40.400,1.48,09:35
603105,2.3207401696222054,芯能科技,23.950,25.180,5.14,09:35
600682,2.2106325706594885,南京新百,11.640,12.000,3.09,09:35
300047,2.200772200772201,天源迪科,13.800,14.300,3.62,09:35
600845,2.119205298013245,宝信软件,26.210,26.550,1.30,09:35
603018,2.1163575042158516,中设集团,17.180,17.470,1.69,09:35
000411,2.0667957405614716,英特集团,14.610,14.980,2.53,09:35
300086,2.03037120359955,康芝药业,7.320,7.460,1.91,09:35
300684,2.0089285714285716,中石科技,84.160,85.150,1.18,09:35
000861,1.989806551848273,海印股份,2.740,2.780,1.46,09:35
600877,3.923826818312148,ST嘉陵,4.970,5.210,4.83,09:37
000938,3.888888888888889,紫光股份,45.180,47.000,4.03,09:37
300357,3.404669260700389,我武生物,39.150,39.620,1.20,09:37
600973,3.358311563316376,宝胜股份,3.780,3.970,5.03,09:37
600271,3.1988950276243093,航天信息,28.020,28.510,1.75,09:37
300667,3.013595166163142,必创科技,30.200,30.950,2.48,09:37
300513,2.4935064935064934,恒泰实达,22.860,23.300,1.92,09:37
002741,2.4371859296482414,光华科技,14.730,15.020,1.97,09:37
603797,2.4183303085299457,联泰环保,14.000,14.330,2.36,09:37
600845,2.3534269199009086,宝信软件,26.210,26.550,1.30,09:37
300601,2.303070761014686,康泰生物,41.880,42.600,1.72,09:37
300086,2.2184873949579833,康芝药业,7.320,7.460,1.91,09:37
300384,2.162921348314607,三联虹普,35.600,36.480,2.47,09:37
600967,2.162017167381974,内蒙一机,12.380,12.560,1.45,09:37
300047,2.139800285306705,天源迪科,13.800,14.350,3.99,09:37
002563,2.1141649048625792,森马服饰,11.680,11.830,1.28,09:37
600179,2.0918367346938775,安通控股,9.890,10.000,1.11,09:37
000998,2.0875763747454177,隆平高科,18.940,19.220,1.48,09:37
300667,3.898858075040783,必创科技,30.200,31.280,3.58,09:38
300357,3.79136690647482,我武生物,39.150,39.880,1.86,09:38
300322,3.6265950302216257,硕贝德,8.420,8.970,6.53,09:38
600877,3.6003025464324736,ST嘉陵,4.970,5.180,4.23,09:38
002741,2.7195121951219514,光华科技,14.730,14.970,1.63,09:38
600179,2.4985490423679626,安通控股,9.890,10.010,1.21,09:38
603659,2.4193548387096775,璞泰来,49.420,50.100,1.38,09:38
300620,2.4137931034482762,光库科技,41.890,42.390,1.19,09:38
002930,2.2081712062256806,宏川智慧,32.920,33.480,1.70,09:38
000411,2.162962962962963,英特集团,14.610,15.000,2.67,09:38
600520,2.1601941747572813,文一科技,16.450,16.880,2.61,09:38
300091,2.130339539978094,金通灵,10.000,10.700,7.00,09:38
603180,2.065217391304348,金牌厨柜,67.650,68.990,1.98,09:38
300383,1.9947484330001695,光环新网,14.760,15.070,2.10,09:38
300098,1.9858156028368792,高新兴,7.630,7.740,1.44,09:38
603319,1.943127962085308,湘油泵,24.040,25.980,8.07,09:38
000861,1.9065342508033916,海印股份,2.740,2.780,1.46,09:38
002430,1.9061707523245983,杭氧股份,13.000,13.150,1.15,09:38
300604,4.023297491039426,长川科技,40.110,40.800,1.72,09:39
002614,3.81151832460733,奥佳华,17.380,17.950,3.28,09:39
300357,3.5728061716489874,我武生物,39.150,39.980,2.12,09:39
603659,3.3617021276595747,璞泰来,49.420,50.020,1.21,09:39
002741,3.3053221288515404,光华科技,14.730,15.010,1.90,09:39
600877,3.2109409840939493,ST嘉陵,4.970,5.200,4.63,09:39
300620,3.011049723756906,光库科技,41.890,42.410,1.24,09:39
300684,2.9888268156424576,中石科技,84.160,85.840,2.00,09:39
002648,2.8832807570977916,卫星石化,9.380,10.320,10.02,09:39
002714,2.8087649402390436,牧原股份,25.200,25.470,1.07,09:39
002353,2.740805604203153,杰瑞股份,18.600,18.820,1.18,09:39
300658,2.633432674072067,延江股份,16.030,17.600,9.79,09:39
002180,2.6217228464419478,纳思达,29.780,30.240,1.54,09:39
600311,2.534547333075036,荣华实业,3.090,3.130,1.29,09:39
002356,2.4872727272727273,赫美集团,11.020,11.780,6.90,09:39
300253,2.433888344760039,卫宁健康,12.770,12.970,1.57,09:39
300348,2.415946205571566,长亮科技,29.920,30.280,1.20,09:39
002827,2.4,高争民爆,16.320,16.700,2.33,09:39
